#                                                                                    --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                             accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                     ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
KC1-P2_N4_k25_Locus_231_Transcript_5_1    -          good-c-term          -                  0 1398.5  18.6         0 1343.6  10.3   2.9   3   0   0   3   3   2   2 -
KC1-P2-N_k31_Locus_4327_Transcript_5_1    -          good-c-term          -                  0 1343.2  10.4         0 1343.2  10.4   3.2   3   0   0   3   3   1   1 -
KC1-P2-N_k31_Locus_14705_Transcript_3_1   -          good-c-term          -            8.9e-27   95.2   1.6   1.6e-26   94.4   1.6   1.3   1   0   0   1   1   1   1 -
KC1-P2_N3_k31_Locus_449_Transcript_12_1   -          good-c-term          -            1.7e-26   94.3   0.3   3.3e-26   93.3   0.3   1.5   1   0   0   1   1   1   1 -
KC1-P2_N1_CL3394Contig1_1                 -          good-c-term          -            3.5e-26   93.3   0.1     5e-26   92.7   0.1   1.2   1   0   0   1   1   1   1 -
KC1-P2_N4_k43_Locus_5224_Transcript_7_1   -          good-c-term          -            4.4e-26   92.9   0.1   7.9e-26   92.1   0.1   1.4   1   0   0   1   1   1   1 -
KC1-P2_N3_k37_Locus_420_Transcript_13_1   -          good-c-term          -              8e-26   92.1   0.6   1.1e-25   91.6   0.6   1.3   1   0   0   1   1   1   1 -
KC1-P2_N4_CL1232Contig1_1                 -          good-c-term          -            1.2e-25   91.5   0.6   1.2e-25   91.5   0.6   1.4   2   0   0   2   2   1   1 -
KC1-P2-N_CL7868Contig1_1                  -          good-c-term          -            1.5e-25   91.1   0.5     3e-25   90.2   0.5   1.4   1   0   0   1   1   1   1 -
KC1-P2_N2_k25_Locus_6298_Transcript_1_1   -          good-c-term          -            1.9e-25   90.8   0.0   2.3e-25   90.6   0.0   1.0   1   0   0   1   1   1   1 -
KC1-P2-N_CL4627Contig1_1                  -          good-c-term          -            2.4e-25   90.5   1.0   2.4e-25   90.5   1.0   2.0   2   0   0   2   2   2   1 -
KC1-P2-N_k43_Locus_17138_Transcript_3_1   -          good-c-term          -            3.2e-25   90.1   0.6   4.6e-25   89.6   0.6   1.2   1   0   0   1   1   1   1 -
KC1-P2_N3_k65_Locus_4778_Transcript_3_1   -          good-c-term          -            3.7e-25   89.9   1.2   5.7e-25   89.3   1.2   1.3   1   0   0   1   1   1   1 -
KC1-P2_N3_k65_Locus_17035_Transcript_1_1  -          good-c-term          -            4.1e-25   89.7   0.0   5.5e-25   89.3   0.0   1.1   1   0   0   1   1   1   1 -
